COD COMPEL;COD FABRICA;QTDE EMBALAGEM;UNIDADE MEDIDA;DISPONIBILIDADE;PREÇO;FABRICANTE
221603451;221603451;1;Pc;A;323,96;ROBERT BOSCH LTDA
221604014;221604014;1;Pc;A;171,86;ROBERT BOSCH LTDA
221604036;221604036;1;Pc;Indisponível;340,16;ROBERT BOSCH LTDA
221604115;221604115;1;Pc;Indisponível;248,87;ROBERT BOSCH LTDA
221611;221611;2;Pc;C;21,23;TENNECO AUTOMOTIVE BRASIL LTDA.
221835;221835;1;Pc;C;58,63;TENNECO AUTOMOTIVE BRASIL LTDA.
221840;221840;1;Pc;B;91,69;TENNECO AUTOMOTIVE BRASIL LTDA.
222043;222043;1;Pc;A;73,26;TENNECO AUTOMOTIVE BRASIL LTDA.
222230;222230;1;Pc;B;87,14;TENNECO AUTOMOTIVE BRASIL LTDA.
222266;222266;1;Pc;B;126,86;TENNECO AUTOMOTIVE BRASIL LTDA.
222571;222571;1;Pc;Indisponível;169,28;TENNECO AUTOMOTIVE BRASIL LTDA.
222572;222572;1;Pc;Indisponível;169,28;TENNECO AUTOMOTIVE BRASIL LTDA.
225208;225208;1;Pc;Indisponível;5;ROBERT BOSCH LTDA
232103097;232103097;1;Pc;A;104,86;ROBERT BOSCH LTDA
234101;234101;1;Pc;A;5;ROBERT BOSCH LTDA
241140535;241140535;1;Pc;A;37,44;ROBERT BOSCH LTDA
241140537;241140537;1;Pc;Indisponível;104,97;ROBERT BOSCH LTDA
241145523;241145523;1;Pc;Indisponível;117,66;ROBERT BOSCH LTDA
241229580;241229580;1;Pc;Indisponível;9,8;ROBERT BOSCH LTDA
241240563;241240563;1;Pc;Indisponível;12,25;ROBERT BOSCH LTDA
241240597;241240597;1;Pc;Indisponível;98;ROBERT BOSCH LTDA
242135515;242135515;1;Pc;C;20,07;ROBERT BOSCH LTDA
242135518;242135518;1;Pc;Indisponível;90,93;ROBERT BOSCH LTDA
242135524;242135524;1;Pc;C;92,29;ROBERT BOSCH LTDA
242135528;242135528;1;Pc;B;38,12;ROBERT BOSCH LTDA
242135533;242135533;1;Pc;Indisponível;107,05;ROBERT BOSCH LTDA
242135545;242135545;1;Pc;B;36,63;ROBERT BOSCH LTDA
242135559;242135559;1;Pc;C;83,75;ROBERT BOSCH LTDA
242135563;242135563;1;Pc;A;74,72;ROBERT BOSCH LTDA
242140512;242140512;1;Pc;A;87,44;ROBERT BOSCH LTDA
242140530;242140530;1;Pc;B;26,36;ROBERT BOSCH LTDA
242140536;242140536;1;Pc;B;97,72;ROBERT BOSCH LTDA
242145537;242145537;1;Pc;Indisponível;104,7;ROBERT BOSCH LTDA
242145541;242145541;1;Pc;Indisponível;76,97;ROBERT BOSCH LTDA
242222503;242222503;4;Pc;B;25,97;ROBERT BOSCH LTDA
242225552;242225552;1;Pc;A;20,58;ROBERT BOSCH LTDA
242225599;242225599;1;Pc;Indisponível;14,76;ROBERT BOSCH LTDA
242229654;242229654;1;Pc;Indisponível;21,58;ROBERT BOSCH LTDA
242229775;242229775;1;Pc;B;13,9;ROBERT BOSCH LTDA
242229799;242229799;1;Pc;Indisponível;54,38;ROBERT BOSCH LTDA
242232506;242232506;4;Pc;Indisponível;28,91;ROBERT BOSCH LTDA
242232806;242232806;4;PC;Indisponível;10,78;ROBERT BOSCH LTDA
242235658;242235658;4;Pc;Indisponível;49;ROBERT BOSCH LTDA
242235661;242235661;1;Pc;C;15,92;ROBERT BOSCH LTDA
242235748;242235748;1;Pc;A;33,12;ROBERT BOSCH LTDA
242235788;242235788;1;Pc;B;19,16;ROBERT BOSCH LTDA
242236541;242236541;1;Pc;B;19,2;ROBERT BOSCH LTDA
242236542;242236542;1;Pc;C;19,46;ROBERT BOSCH LTDA
242236544;242236544;1;Pc;Indisponível;0;
242236563;242236563;1;Pc;B;65,32;ROBERT BOSCH LTDA
242236571;242236571;1;Pc;B;68,93;ROBERT BOSCH LTDA
